标题,链接,服务,dsr,店铺名,价格,付款人数,发货地,好评率,动态评分,店铺类型,店铺等级
汽车座套冬季棉麻专用座椅套四季通用座垫新款全包围布艺坐套,https://item.taobao.com/item.htm?id=571727251088&ns=1&abbucket=18#detail,,黄红黄,弘达汽车用品店,148.00,13169人收货,浙江 台州,好评率：98.22%,"0.00%,3.35%,0.00%,",淘宝c店,4冠
卡通记忆棉坐垫学生教室椅子凳子垫子可爱宿舍椅垫冬季防滑屁股垫,https://detail.tmall.com/item.htm?id=521659151919&ns=1&abbucket=18,"天猫,",红红红,远宜家纺旗舰店,18.80,13023人收货,江苏 南通,,"14.83%,21.65%,12.56%,",天猫店,
欧式定做沙发垫布艺沙发套全包萬能套盖四季通用现代简约防滑,https://detail.tmall.com/item.htm?id=40955998270&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,吉利鸟家居旗舰店,8.10,12978人收货,,,"26.75%,18.31%,16.25%,",天猫店,
坐垫靠垫一体办公室椅垫加厚学生座垫餐椅板凳子屁股垫子夏季透气,https://detail.tmall.com/item.htm?id=546304630122&ns=1&abbucket=18,"天猫,",黄黄黄,朗郡家居专营店,24.00,12706人收货,江苏 扬州,,"0.00%,0.00%,0.00%,",天猫店,
坐垫连体抱枕靠垫一体办公室靠枕加厚椅子椅垫教室学生夏季座垫,https://detail.tmall.com/item.htm?id=562638726038&ns=1&abbucket=18,"天猫,公益宝贝,",黄黄蓝,郁姿家纺旗舰店,17.90,12468人收货,,,"0.00%,0.00%,0.54%,",天猫店,
沙发垫布艺防滑沙发坐垫子四季通用沙发套全包萬能套罩巾全盖欧式,https://detail.tmall.com/item.htm?id=573548854663&ns=1&abbucket=18,"天猫,",红红红,罗兰妮旗舰店,22.00,12294人收货,浙江 金华,,"23.40%,23.95%,27.24%,",天猫店,
加厚软坐垫夏季椅子垫子凳子电脑椅垫屁股屁垫地坐垫四季透气家用,https://detail.tmall.com/item.htm?id=558487676562&ns=1&abbucket=18,"天猫,",黄蓝蓝,格米诺小脚丫专卖店,5.50,12063人收货,,,"0.00%,1.05%,0.86%,",天猫店,
防滑沙发垫现代简约沙发套全包萬能套坐垫子罩巾布艺四季通用全盖,https://detail.tmall.com/item.htm?id=541002834141&ns=1&abbucket=18,"天猫,",红红红,梓晨旗舰店,22.00,11240人收货,浙江 金华,,"34.09%,34.58%,40.07%,",天猫店,
沙发垫全包萬能套四季通用布艺沙发套坐垫罩巾简约现代型防滑全盖,https://detail.tmall.com/item.htm?id=573268204334&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,傲盛达家居旗舰店,8.10,10944人收货,,,"56.59%,48.48%,52.10%,",天猫店,
沙发垫四季通用型布艺坐垫防滑简约现代沙发巾套罩全盖全包万能套,https://detail.tmall.com/item.htm?id=527032859752&ns=1&abbucket=18,"天猫,",红红红,亦梦旗舰店,19.00,10636人收货,浙江 金华,,"26.25%,25.33%,32.60%,",天猫店,
卡通记忆棉坐垫学生冬季长方形透气座垫教室椅子椅垫凳子屁垫子,https://detail.tmall.com/item.htm?id=567414530646&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,远宜家纺旗舰店,21.80,10293人收货,江苏 南通,,"14.83%,21.65%,12.56%,",天猫店,
榻榻米坐垫女屁垫办公室坐垫乳胶座垫学生椅垫加厚凳子椅子垫透气,https://detail.tmall.com/item.htm?id=569428820855&ns=1&abbucket=18,"天猫,",黄红红,歌兰帝旗舰店,26.80,9970人收货,江苏 南通,,"0.00%,22.02%,16.78%,",天猫店,
汽车坐垫四季通用全包围新朗逸吉利帝豪夏季冰丝小车皮座椅垫座套,https://detail.tmall.com/item.htm?id=568417845068&ns=1&abbucket=18,"天猫,公益宝贝,",蓝蓝蓝,名秀阁盈多专卖店,148.00,9942人收货,,,"1.90%,1.57%,1.19%,",天猫店,
汽车坐垫四季通用全包围小车座垫车垫车内用品座椅套坐套冬季座套,https://detail.tmall.com/item.htm?id=577097297521&ns=1&abbucket=18,"天猫,公益宝贝,",黄黄红,潇邦车品专营店,186.00,9888人收货,浙江 台州,,"0.00%,0.00%,3.54%,",天猫店,
花朵圆形加厚凳子屁股坐垫椅垫子地板榻榻米办公室电脑椅座垫学生,https://item.taobao.com/item.htm?id=529396516047&ns=1&abbucket=18#detail,"金牌卖家,公益宝贝,",红红黄,心诚玩具商行,5.90,9846人收货,江苏 扬州,好评率：99.78%,"11.79%,1.04%,0.00%,",淘宝c店,1金冠
纯棉布艺沙发罩四季通用型防滑全棉坐垫简约现代全包萬能套全盖巾,https://detail.tmall.com/item.htm?id=565591179939&ns=1&abbucket=18,"天猫,",红红红,梦雅莉旗舰店,17.10,9785人收货,浙江 金华,,"24.27%,24.23%,30.28%,",天猫店,
四季布艺通用沙发坐垫子简约现代沙发垫欧式巾罩套全包全盖万能套,https://detail.tmall.com/item.htm?id=573902407370&ns=1&abbucket=18,"天猫,",红红红,南极人提娅丝专卖店,25.00,9710人收货,,,"23.78%,30.97%,36.16%,",天猫店,
沙发垫四季通用防滑布艺纯棉现代简约客厅全棉沙发套罩巾全盖,https://detail.tmall.com/item.htm?id=576540130587&ns=1&abbucket=18,"天猫,",红红红,南极人提娅丝专卖店,19.48,9451人收货,,,"23.78%,30.97%,36.16%,",天猫店,
记忆棉美臀坐垫护臀垫加厚学生办公室座垫垫子椅垫屁垫美臀保健垫,https://detail.tmall.com/item.htm?id=521018266842&ns=1&abbucket=18,"天猫,",蓝红红,ganaciser旗舰店,38.00,9179人收货,江苏 南通,,"0.52%,12.01%,14.19%,",天猫店,
沙发垫欧式四季通用布艺简约现代坐垫子全包萬能沙发套沙发罩全盖,https://detail.tmall.com/item.htm?id=529677223091&ns=1&abbucket=18,"天猫,",红红红,虹原风尚旗舰店,22.00,8832人收货,浙江 金华,,"16.97%,18.26%,20.73%,",天猫店,
沙发垫四季通用布艺欧式防滑坐垫子全包简约现代万能沙发套罩全盖,https://detail.tmall.com/item.htm?id=530193888677&ns=1&abbucket=18,"天猫,",红红红,七格格家居旗舰店,26.00,8781人收货,,,"13.84%,13.71%,13.95%,",天猫店,
四季通用棉麻沙发垫布艺防滑简约现代全包萬能巾套罩子全盖,https://detail.tmall.com/item.htm?id=573157165349&ns=1&abbucket=18,"天猫,",红红红,珍罗兰旗舰店,21.00,8590人收货,浙江 金华,,"45.89%,45.14%,49.48%,",天猫店,
榻榻米屁股坐垫地坐办公室椅子垫子坐垫凳子椅垫学生宿舍教室屁垫,https://item.taobao.com/item.htm?id=21597824036&ns=1&abbucket=18#detail,"15天退换,",蓝蓝蓝,大哥要啥,4.80,8391人收货,浙江 金华,好评率：98.06%,"1.71%,1.39%,1.98%,",淘宝c店,5金冠
坐垫靠垫一体办公室椅垫加厚学生座垫凳子坐垫屁股垫子秋冬座椅垫,https://detail.tmall.com/item.htm?id=575961086690&ns=1&abbucket=18,"天猫,公益宝贝,",蓝蓝蓝,伊菲迪诺家居专营店,35.50,8216人收货,,,"0.71%,0.99%,0.53%,",天猫店,
卡通学生坐垫椅垫教室宿舍椅子垫子坐垫冬季加厚办公室防滑屁股垫,https://detail.tmall.com/item.htm?id=560503004415&ns=1&abbucket=18,"天猫,",黄黄蓝,洛丽家居旗舰店,10.80,7926人收货,上海,,"0.00%,0.00%,0.73%,",天猫店,
沙发垫四季通用布艺坐垫子靠背巾简约现代沙发套全包萬能套罩全盖,https://detail.tmall.com/item.htm?id=548277742433&ns=1&abbucket=18,"天猫,",红红红,梓晨旗舰店,20.00,7867人收货,浙江 金华,,"34.09%,34.58%,40.07%,",天猫店,
加厚坐垫夏季椅子椅垫办公室四季教室学生凳子屁股垫子透气软,https://detail.tmall.com/item.htm?id=573518007838&ns=1&abbucket=18,"天猫,",蓝蓝蓝,conttonshop家纺旗舰店,9.80,7747人收货,,,"1.25%,2.07%,2.29%,",天猫店,
柔软加厚坐垫椅垫办公室座垫电脑椅子垫子学生教室凳子地板屁股垫,https://item.taobao.com/item.htm?id=575195769625&ns=1&abbucket=18#detail,,蓝蓝蓝,集美饰品商城,4.90,7582人收货,浙江 金华,好评率：98.03%,"2.08%,1.95%,1.82%,",淘宝c店,5金冠
连体坐垫靠垫背一体办公室椅垫子加厚学生教室座垫凳子屁股屁垫软,https://detail.tmall.com/item.htm?id=576576890276&ns=1&abbucket=18,"天猫,",蓝蓝蓝,思内阁旗舰店,12.80,7228人收货,江苏 南通,,"1.26%,0.99%,0.97%,",天猫店,
汽车坐垫全包围皮座套四季通用2018新款专用座垫17座椅套冬季全包,https://detail.tmall.com/item.htm?id=575040634330&ns=1&abbucket=18,"天猫,",红红红,易鼎盛车品专营店,288.00,7076人收货,,,"25.35%,37.72%,45.40%,",天猫店,
汽车坐垫四季通用麻布艺全包围座套新款座椅套小车垫坐套冬季座垫,https://detail.tmall.com/item.htm?id=561720347801&ns=1&abbucket=18,"天猫,",黄红红,泓城车品专营店,143.00,6916人收货,浙江 台州,,"0.00%,6.00%,1.69%,",天猫店,
沙发垫四季通用布艺防滑坐垫简约现代沙发套全包萬能套沙发罩全盖,https://detail.tmall.com/item.htm?id=565764517806&ns=1&abbucket=18,"天猫,",红红红,南极人洱峰专卖店,10.10,6835人收货,,,"27.79%,32.91%,35.23%,",天猫店,
柔软加厚坐垫椅垫办公室座垫电脑椅子垫子学生教室凳子地板屁股垫,https://item.taobao.com/item.htm?id=575199336424&ns=1&abbucket=18#detail,"15天退换,",蓝蓝蓝,喜客多2008,4.90,6804人收货,浙江 金华,好评率：98.91%,"0.89%,0.70%,0.75%,",淘宝c店,5金冠
汽车坐垫四季通用大众新朗逸速腾宝来捷达凌渡皮革座套全包围冬季,https://detail.tmall.com/item.htm?id=575289203253&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,宏致汽车用品专营店,268.00,6781人收货,,,"52.47%,59.46%,62.33%,",天猫店,
秋冬季汽车坐垫四季通用座套新款全包座垫卡通小车专用车垫座椅套,https://detail.tmall.com/item.htm?id=566534040621&ns=1&abbucket=18,"天猫,公益宝贝,",蓝黄黄,红频果车品旗舰店,298.00,6659人收货,,,"0.83%,0.00%,0.00%,",天猫店,
新款汽车坐垫全包围座套四季通用皮革小车专用座椅套座垫坐套冬季,https://detail.tmall.com/item.htm?id=575447745431&ns=1&abbucket=18,"天猫,",红红红,众晟荣美专卖店,298.00,6629人收货,浙江 台州,,"72.74%,75.28%,76.69%,",天猫店,
汽车坐垫冬季三件套单片短毛绒无靠背免绑防滑座垫保暖单座通用,https://detail.tmall.com/item.htm?id=557884193101&ns=1&abbucket=18,"天猫,公益宝贝,",黄蓝蓝,舒悦车品专营店,21.80,6539人收货,浙江 金华,,"0.00%,0.84%,0.78%,",天猫店,
汽车坐垫四季通用新款全包亚麻冬季卡罗拉速腾朗逸H6汽车座椅座套,https://detail.tmall.com/item.htm?id=577991902793&ns=1&abbucket=18,"天猫,",蓝蓝黄,好车居车品专营店,298.00,6400人收货,,,"0.86%,0.68%,0.00%,",天猫店,
沙发垫四季通用型布艺坐垫简约现代防滑沙发罩沙发套全包萬能套,https://detail.tmall.com/item.htm?id=567954844720&ns=1&abbucket=18,"天猫,",红红红,萧邦旗舰店,29.00,6271人收货,浙江 金华,,"75.62%,77.66%,79.23%,",天猫店,
欧式沙发垫布艺现代简约沙发套罩全包萬能套全盖坐垫四季通用防滑,https://detail.tmall.com/item.htm?id=575917150681&ns=1&abbucket=18,"天猫,",红红红,秀之坊家居旗舰店,29.50,6266人收货,,,"70.06%,72.80%,75.44%,",天猫店,
汽车坐垫四季通用全包座垫车内用品亚麻座椅套车套小车四季车座套,https://detail.tmall.com/item.htm?id=577224134263&ns=1&abbucket=18,"天猫,",红红红,紫风铃途辰专卖店,418.00,6242人收货,,,"53.87%,38.09%,38.63%,",天猫店,
坐垫办公室电脑加厚椅子椅垫学生教室板凳子夏季餐桌餐椅垫子座垫,https://detail.tmall.com/item.htm?id=520475655861&ns=1&abbucket=18,"天猫,公益宝贝,",黄黄蓝,郁姿家纺旗舰店,7.90,5973人收货,,,"0.00%,0.00%,0.54%,",天猫店,
汽车坐垫冬季毛绒无靠背三件套防滑免绑车垫单片冬天保暖座垫用品,https://detail.tmall.com/item.htm?id=576012720858&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,达米尔车品专营店,49.00,5970人收货,,,"11.35%,21.51%,19.76%,",天猫店,
汽车坐垫四季专用座垫小蛮腰围通用亚麻布艺车垫子座椅套全包座套,https://item.taobao.com/item.htm?id=577432443099&ns=1&abbucket=18#detail,,红红红,懒小鬼1220,148.00,5964人收货,山东 聊城,好评率：99.75%,"55.07%,48.06%,49.19%,",淘宝c店,
PPW痔疮坐垫办公室美臀垫翘臀中空孕妇尾椎减压垫子保健屁股座垫,https://detail.tmall.com/item.htm?id=45049806426&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,百荣康家纺专营店,79.00,5947人收货,上海,,"55.07%,48.06%,49.19%,",天猫店,
仓鼠连体坐垫靠垫一体办公室椅垫加厚学生座垫餐椅板凳子屁股垫子,https://detail.tmall.com/item.htm?id=559407925905&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,恋帘布舍旗舰店,29.00,5859人收货,江苏 扬州,,"8.05%,30.60%,22.43%,",天猫店,
远宜记忆棉汽车坐垫办公室餐椅垫榻榻米防滑沙发椅子加厚冬季,https://detail.tmall.com/item.htm?id=18427084789&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,远宜家纺旗舰店,20.90,5840人收货,江苏 南通,,"14.83%,21.65%,12.56%,",天猫店,
四季通用坐垫椅垫办公室座垫屁垫餐椅垫学生秋冬毛绒电脑椅子垫,https://item.taobao.com/item.htm?id=557719831778&ns=1&abbucket=18#detail,"金牌卖家,",红红红,小太阳精品家纺,4.40,5802人收货,浙江 金华,好评率：98.89%,"14.11%,11.99%,5.62%,",淘宝c店,
加厚坐垫卡通花朵圆形垫子椅垫学生凳子屁股坐垫办公室电脑椅子垫,https://item.taobao.com/item.htm?id=525044927051&ns=1&abbucket=18#detail,"金牌卖家,公益宝贝,",红红黄,maowei_333,7.80,5759人收货,浙江 金华,好评率：98.89%,"11.48%,3.91%,0.00%,",淘宝c店,3冠
2018新款汽车座套皮革亚麻布艺全包汽车坐垫四季通用秋冬季座椅套,https://detail.tmall.com/item.htm?id=576886395644&ns=1&abbucket=18,"天猫,",红红红,保利臣汽车用品专营店,285.00,5710人收货,,,"11.48%,3.91%,0.00%,",天猫店,
坐垫办公室慢回弹记忆棉学生透气护美臀屁股座垫加厚椅子凳椅垫,https://detail.tmall.com/item.htm?id=532980257199&ns=1&abbucket=18,"天猫,公益宝贝,",蓝红红,知梦人家居旗舰店,29.80,5664人收货,,,"45.31%,40.52%,39.01%,",天猫店,
记忆棉仿亚麻透气坐垫学生教室凳子垫防滑垫可爱卡通座垫椅垫屁垫,https://detail.tmall.com/item.htm?id=543356434507&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,远宜家纺旗舰店,24.60,5652人收货,江苏 南通,,"14.83%,21.65%,12.56%,",天猫店,
沙发垫冬季防滑家用坐垫通用型全盖简约现代沙发套全包萬能套客厅,https://detail.tmall.com/item.htm?id=576192804277&ns=1&abbucket=18,"天猫,",红红红,亦梦卓灿专卖店,28.90,5651人收货,浙江 金华,,"14.83%,21.65%,12.56%,",天猫店,
坐垫女夏季椅子地坐学生教室凳垫子家用办公室屁座垫餐桌椅垫四季,https://detail.tmall.com/item.htm?id=559121844949&ns=1&abbucket=18,"天猫,",红红红,馨生活家居旗舰店,19.80,5437人收货,,,"31.01%,37.32%,42.15%,",天猫店,
宿舍凳子屁股垫子椅子坐垫椅垫靠垫一体学生办公室教室毛绒四季女,https://detail.tmall.com/item.htm?id=575945636729&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,贝梦思特家居旗舰店,39.90,5413人收货,,,"21.28%,33.87%,33.82%,",天猫店,
全包围汽车座套四季通用18新款19朗逸皮革专用座垫座椅套全包,https://detail.tmall.com/item.htm?id=36518475904&ns=1&abbucket=18,"天猫,",蓝蓝黄,zoncar车品旗舰店,308.00,5208人收货,,,"7.19%,12.80%,5.92%,",天猫店,
新款汽车座套四季通用装饰用品可爱亚麻专用女布艺冬季全包围,https://detail.tmall.com/item.htm?id=575659770563&ns=1&abbucket=18,"天猫,",红红红,尚诺汽车用品专营店,298.00,5195人收货,,,"1.50%,0.67%,0.00%,",天猫店,
沙发垫四季通用布艺防滑坐垫简约现代沙发套全包萬能套沙发罩全盖,https://detail.tmall.com/item.htm?id=548916792306&ns=1&abbucket=18,"天猫,",红红红,虹原风尚旗舰店,15.00,5082人收货,浙江 金华,,"16.97%,18.26%,20.73%,",天猫店,
汽车座套全包围坐垫四季通用冬季卡罗拉福克斯捷达座椅套座垫全包,https://detail.tmall.com/item.htm?id=36375634252&ns=1&abbucket=18,"天猫,公益宝贝,",蓝蓝蓝,圣香添福旗舰店,188.00,4902人收货,北京,,"16.97%,18.26%,20.73%,",天猫店,
沙发垫四季布艺通用简约现代棉麻坐垫防滑沙发套全包萬能套罩全盖,https://detail.tmall.com/item.htm?id=552135134235&ns=1&abbucket=18,"天猫,",红红红,品高旗舰店,29.00,4768人收货,浙江 金华,,"57.33%,54.00%,54.92%,",天猫店,
居家家 椅子坐垫办公室板凳椅子垫 学生凳子加厚屁股垫子座垫椅垫,https://item.taobao.com/item.htm?id=558542337335&ns=1&abbucket=18#detail,"金牌卖家,15天退换,",红红红,居家家,9.90,4743人收货,上海,好评率：98.94%,"12.05%,15.23%,10.98%,",淘宝c店,
汽车坐垫全包围皮座套四季通用2018新款专用座垫17座椅套夏季全包,https://detail.tmall.com/item.htm?id=567768613089&ns=1&abbucket=18,"天猫,",红红红,玛士邦汽车用品旗舰店,298.00,4690人收货,,,"12.05%,15.23%,10.98%,",天猫店,
夏季椅垫办公室透气椅子坐垫屁垫软座垫加厚学生教室屁股凳子垫子,https://item.taobao.com/item.htm?id=571829711543&ns=1&abbucket=18#detail,"15天退换,公益宝贝,",红红红,韩娜居家生活,9.90,4683人收货,江苏 扬州,好评率：99.78%,"4.99%,10.34%,5.76%,",淘宝c店,
学生坐垫记忆棉垫子加厚椅子长方形宿舍凳子椅垫四季教室冬季屁垫,https://detail.tmall.com/item.htm?id=522750526307&ns=1&abbucket=18,"天猫,",黄黄黄,爱之舟旗舰店,15.00,4653人收货,上海,,"0.00%,0.00%,0.00%,",天猫店,
汽车座套真皮定做专用座垫18新款全包座椅套四季通用皮全包围,https://detail.tmall.com/item.htm?id=521898265251&ns=1&abbucket=18,"天猫,",蓝蓝蓝,圣香添福旗舰店,228.00,4638人收货,北京,,"3.08%,3.45%,3.26%,",天猫店,
椅子坐垫地板垫子带绑带餐厅椅子家用软垫子客厅凳子通用加厚,https://item.taobao.com/item.htm?id=564924633928&ns=1&abbucket=18#detail,"金牌卖家,",蓝蓝蓝,天天bbox,9.90,4611人收货,河北 衡水,好评率：97.82%,"1.10%,0.95%,1.40%,",淘宝c店,
汽车坐垫冬季新款毛绒无靠背三件套防滑免绑保暖座垫单片汽车用品,https://item.taobao.com/item.htm?id=565278131691&ns=1&abbucket=18#detail,"金牌卖家,公益宝贝,",红红红,车品营运中心,49.00,4586人收货,浙江 台州,好评率：97.82%,"32.73%,29.07%,24.10%,",淘宝c店,2冠
四季沙发垫通用布艺防滑简约现代沙发套全包万能坐垫欧式全盖秋冬,https://item.taobao.com/item.htm?id=551447406240&ns=1&abbucket=18#detail,"icon-service-jiyoujia,金牌卖家,15天退换,公益宝贝,",红红红,逃避不是洒脱s,25.00,4569人收货,浙江 金华,好评率：98.67%,"11.27%,13.19%,23.27%,",淘宝c店,7冠
可爱卡通连体坐垫护腰靠垫背一体办公室加厚学生餐椅子屁股座椅垫,https://item.taobao.com/item.htm?id=539832486282&ns=1&abbucket=18#detail,"15天退换,公益宝贝,",蓝蓝蓝,孙宏斌888,19.80,4528人收货,北京,好评率：98.67%,"2.16%,1.85%,1.54%,",淘宝c店,5冠
可爱二哈士奇女学生宿舍椅子垫子坐垫靠垫一体椅垫连体靠背办公室,https://detail.tmall.com/item.htm?id=573421004292&ns=1&abbucket=18,"天猫,",红红红,by家纺旗舰店,29.00,4523人收货,江苏 扬州,,"2.16%,1.85%,1.54%,",天猫店,
加厚乳胶坐垫学生教室软办公室舒适椅垫凳子椅子垫子家用四季座垫,https://detail.tmall.com/item.htm?id=576073267786&ns=1&abbucket=18,"天猫,",黄红黄,福来乐家纺旗舰店,29.30,4496人收货,,,"12.89%,12.50%,6.08%,",天猫店,
沙发垫欧式布艺四季通用现代简约防滑坐垫沙发套全包萬能套罩全盖,https://detail.tmall.com/item.htm?id=566782149416&ns=1&abbucket=18,"天猫,公益宝贝,",黄蓝黄,舞之星旗舰店,75.00,4495人收货,河北 石家庄,,"0.00%,0.87%,0.00%,",天猫店,
汽车坐垫冬季冰丝小垫子亚麻小蛮腰荞麦壳养生免捆绑四季通用座垫,https://detail.tmall.com/item.htm?id=36377431629&ns=1&abbucket=18,"天猫,",蓝蓝蓝,圣香添福旗舰店,99.00,4472人收货,北京,,"3.08%,3.45%,3.26%,",天猫店,
汽车坐垫四季通用全包四季垫麻布艺车冬季专用座垫座椅套汽车座套,https://item.taobao.com/item.htm?id=573593387830&ns=1&abbucket=18#detail,"金牌卖家,",黄红红,zhumin9958,148.00,4434人收货,上海,好评率：99.06%,"0.00%,18.15%,17.08%,",淘宝c店,
沙发垫四季通用布艺简约现代欧式防滑坐垫沙发套全包萬能套罩全盖,https://detail.tmall.com/item.htm?id=566522795299&ns=1&abbucket=18,"天猫,",红红红,南极人洱峰专卖店,23.00,4323人收货,,,"27.79%,32.91%,35.23%,",天猫店,
汽车座套新款四季通用小车座垫秋冬季车坐套全包围亚麻专用套,https://detail.tmall.com/item.htm?id=576839267130&ns=1&abbucket=18,"天猫,公益宝贝,",红红红,einszett墨宝专卖店,298.00,4090人收货,,,"72.16%,52.11%,54.59%,",天猫店,
夏季坐垫学生教室座垫夏天办公室加厚地板电脑凳子椅子透气软屁垫,https://item.taobao.com/item.htm?id=542377369827&ns=1&abbucket=18#detail,,蓝蓝蓝,chailq888,5.80,4073人收货,北京,好评率：98.80%,"2.22%,1.86%,1.92%,",淘宝c店,3金冠
四季通用薄款椅垫防滑办公坐垫学生凳垫电脑椅子垫夏季餐椅垫,https://item.taobao.com/item.htm?id=562940119369&ns=1&abbucket=18#detail,"15天退换,公益宝贝,",红红红,金华小于,5.50,3969人收货,浙江 金华,好评率：99.67%,"32.46%,29.61%,29.17%,",淘宝c店,4冠
